,Date,compound,neg,neu,pos,Open,High,Low,Close,Volume
2581,2017-06-05,0.9963,0.063,0.853,0.084,9656.3,9687.2,9640.7,9675.1,131685021
2582,2017-06-06,0.9944,0.07400000000000001,0.833,0.09300000000000001,9704.25,9709.3,9630.2,9637.15,150379695
2583,2017-06-07,0.9994,0.08199999999999999,0.7979999999999999,0.12,9663.95,9678.55,9630.55,9663.9,165669924
2584,2017-06-08,0.9976,0.094,0.7909999999999999,0.115,9682.4,9688.7,9641.5,9647.25,160165459
2585,2017-06-09,0.9992,0.065,0.8340000000000001,0.1,9638.55,9676.25,9608.15,9668.25,163897548
2586,2017-06-12,0.9982,0.068,0.835,0.09699999999999999,9646.7,9647.05,9598.5,9616.4,145786938
2587,2017-06-13,0.9992,0.052000000000000005,0.8540000000000001,0.094,9615.55,9654.15,9595.4,9606.9,133734363
2588,2017-06-14,0.9987,0.08,0.8079999999999999,0.111,9621.55,9627.4,9580.45,9618.15,187378750
2589,2017-06-15,0.9990000000000001,0.067,0.831,0.102,9617.9,9621.4,9560.8,9578.05,176423424
2590,2017-06-16,0.9952,0.08800000000000001,0.804,0.10800000000000001,9595.45,9615.85,9565.5,9588.05,219808528
2591,2017-06-19,0.9997,0.059000000000000004,0.818,0.12300000000000001,9626.4,9673.3,9614.9,9657.55,146146062
2592,2017-06-20,0.9975,0.08199999999999999,0.8109999999999999,0.106,9670.5,9676.5,9643.75,9653.5,164437226
2593,2017-06-21,0.9907,0.068,0.847,0.085,9648.1,9650.45,9608.6,9633.6,148490556
2594,2017-06-22,0.9990000000000001,0.054000000000000006,0.851,0.095,9642.65,9698.85,9617.75,9630.0,204888654
2595,2017-06-23,0.9994,0.083,0.7859999999999999,0.132,9643.25,9647.65,9565.3,9574.95,180580579
2596,2017-06-27,0.9998,0.055999999999999994,0.812,0.133,9594.05,9615.4,9473.45,9511.4,209593904
2597,2017-06-28,0.9982,0.073,0.826,0.10099999999999999,9520.2,9522.5,9474.35,9491.25,177652206
2598,2017-06-29,0.9988,0.083,0.809,0.10800000000000001,9522.95,9575.8,9493.8,9504.1,267283587
2599,2017-06-30,0.9954,0.064,0.852,0.084,9478.5,9535.8,9448.75,9520.9,185202600
2600,2017-07-03,0.9999,0.064,0.795,0.141,9587.95,9624.0,9543.55,9615.0,188690599
2601,2017-07-04,0.9994,0.066,0.826,0.10800000000000001,9645.9,9650.65,9595.5,9613.3,149313755
2602,2017-07-05,0.9996,0.07400000000000001,0.8,0.126,9619.75,9643.65,9607.35,9637.6,134849476
2603,2017-07-06,0.9996,0.062,0.826,0.111,9653.6,9700.7,9639.95,9674.55,152001940
2604,2017-07-07,0.9985,0.06,0.845,0.095,9670.35,9684.25,9642.65,9665.8,146232151
2605,2017-07-10,0.8953,0.085,0.8170000000000001,0.098,9719.3,9782.15,9646.45,9771.05,40142973
2606,2017-07-11,0.9883,0.094,0.795,0.111,9797.45,9830.05,9778.85,9786.05,185322358
